,id,date,subject,resolved,description,category,priority
0,26a65692-aec8-4b19-bde5-db5731a33352,2023-11-10 01:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Customer Experience,Low priority
1,4dfbbbf8-87f0-47fc-9ef4-4c0940cacb99,2023-11-13 01:45:32,Email Spam Attacks,False,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Research and Development,Low priority
2,fe61c790-a522-4d3a-aad8-ac56d260b029,2023-11-08 15:45:32,Slow Network Connection,False,I've been experiencing a consistently slow internet connection over the past few days. This slowdown is making it extremely challenging to perform my tasks efficiently. Loading web pages and accessing online resources is taking longer than usual. Can you please investigate the root cause of this issue and take the necessary steps to improve my internet speed?,Project Management,High priority
3,9b207ff5-5ab6-43d9-b700-597ff650c364,2023-11-05 10:45:32,Printer Malfunction,True,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Legal and Compliance,Medium priority
4,5e94e83e-de73-4dba-b39f-1ba316aa9e48,2023-11-15 22:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Product Development,High priority
5,64500969-121b-4bed-b1c8-cd5d52181c67,2023-11-06 04:45:32,Email Delivery Issues,True,"I've noticed significant delays in both sending and receiving emails lately. This delay has resulted in missed communication and is affecting my ability to respond to important messages promptly. I rely heavily on email communication for my work, so it's crucial to resolve this issue swiftly. Please investigate and rectify the email delivery problem.",Human Resources,High priority
6,99b119d3-b4c8-4ae4-ac36-55f046b4268d,2023-11-12 02:45:32,VPN Connection Problems,True,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Product Development,High priority
7,06551e4c-8490-413e-9513-665b06efcb43,2023-11-10 17:45:32,Email Spam Attacks,True,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Human Resources,High priority
8,ac3853a2-da6e-4f7a-b9a4-4c287be8f918,2023-11-13 20:45:32,Printer Malfunction,False,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Sales and Marketing,Low priority
9,fe702b13-def8-432a-95d2-ff2326d586ff,2023-11-04 12:45:32,Forgotten Passwords,False,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,IT and Infrastructure,Low priority
10,7111a929-5e47-4224-bf45-776a175e5c60,2023-11-07 10:45:32,VPN Connection Problems,True,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Product Development,Low priority
11,64b5bd24-185e-404d-8025-2e220e7499aa,2023-11-15 07:45:32,VPN Connection Problems,False,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",IT and Infrastructure,Medium priority
12,20dda3ab-6b3a-4ae9-9824-3930d456b24d,2023-11-05 18:45:32,Email Delivery Issues,False,"I've noticed significant delays in both sending and receiving emails lately. This delay has resulted in missed communication and is affecting my ability to respond to important messages promptly. I rely heavily on email communication for my work, so it's crucial to resolve this issue swiftly. Please investigate and rectify the email delivery problem.",Product Development,Medium priority
13,b82ab497-5200-495e-926d-8d77f4634bf6,2023-11-08 22:45:32,Printer Malfunction,False,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Account Management,Medium priority
14,e3629ad8-67ba-4867-a0ce-a1104a2dd0df,2023-11-05 19:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Product Development,Low priority
15,7faf7661-b0ba-4ff3-b0e5-de7e14be348a,2023-11-08 03:45:32,Software Crashes,True,"The software I use for my daily tasks has been crashing frequently. These crashes are occurring unexpectedly, causing disruptions and potential data loss. I've tried restarting my computer, but the issue persists. Could you please investigate the root cause and provide a solution to prevent these software crashes from happening in the future?",Supply Chain,Medium priority
16,4a43f1b4-4479-4bd2-a1ff-79508ef89c4f,2023-11-15 05:45:32,Slow Network Connection,True,I've been experiencing a consistently slow internet connection over the past few days. This slowdown is making it extremely challenging to perform my tasks efficiently. Loading web pages and accessing online resources is taking longer than usual. Can you please investigate the root cause of this issue and take the necessary steps to improve my internet speed?,Quality Assurance,Low priority
17,a3d4dcc8-51f0-4902-9a16-3c0a86ab9104,2023-11-09 17:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",Facilities,High priority
18,113ee901-f967-49c3-a1d1-28b26b25c6b9,2023-11-04 23:45:32,Software Crashes,True,"The software I use for my daily tasks has been crashing frequently. These crashes are occurring unexpectedly, causing disruptions and potential data loss. I've tried restarting my computer, but the issue persists. Could you please investigate the root cause and provide a solution to prevent these software crashes from happening in the future?",Customer Service,High priority
19,c95fbf2e-dbaf-4390-bd74-6d4019f2659a,2023-11-06 08:45:32,VPN Connection Problems,True,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Customer Service,High priority
20,4f1d96db-224e-4ad6-871d-7af8cdddb17e,2023-11-10 13:45:32,Email Spam Attacks,True,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Account Management,Low priority
21,bd9cad0b-5003-4276-ade7-0765e1a35901,2023-11-08 16:45:32,VPN Connection Problems,False,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Human Resources,Low priority
22,f6632683-17b5-4609-a3d1-0d6c29b2c936,2023-11-08 20:45:32,Printer Malfunction,True,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Research and Development,Medium priority
23,a0f9f723-e2fb-4f72-930d-789a8c5a5f81,2023-11-10 10:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",IT and Infrastructure,Medium priority
24,7e440c38-955e-4269-aabc-359af7c42631,2023-11-15 01:45:32,Hardware Failure,False,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",Supply Chain,Medium priority
25,84951e99-c244-450a-907a-e3b789af1071,2023-11-14 12:45:32,Printer Malfunction,True,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Supply Chain,High priority
26,58e3857b-30b1-432b-957a-b64f4838c8c3,2023-11-15 10:45:32,Software Crashes,True,"The software I use for my daily tasks has been crashing frequently. These crashes are occurring unexpectedly, causing disruptions and potential data loss. I've tried restarting my computer, but the issue persists. Could you please investigate the root cause and provide a solution to prevent these software crashes from happening in the future?",Customer Service,Low priority
27,e4cf14bd-f000-4d8f-946c-6f8332b75095,2023-11-15 20:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Sales and Marketing,High priority
28,f8b7d76f-7a88-4093-bc61-c5caaf6b85ec,2023-11-06 18:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",Project Management,Low priority
29,c74a2edd-4b67-4a80-82ee-2c14373996cb,2023-11-13 22:45:32,Email Spam Attacks,False,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Sales and Marketing,Medium priority
30,dfc7c215-6793-4de9-bcde-b639c72c97c8,2023-11-14 02:45:32,Forgotten Passwords,False,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Product Development,Low priority
31,b9d14440-6cb6-4960-b5d1-a29fb883fc13,2023-11-15 04:45:32,Software Crashes,True,"The software I use for my daily tasks has been crashing frequently. These crashes are occurring unexpectedly, causing disruptions and potential data loss. I've tried restarting my computer, but the issue persists. Could you please investigate the root cause and provide a solution to prevent these software crashes from happening in the future?",Facilities,Low priority
32,7a3742e7-230d-4b79-815f-09a1126daf80,2023-11-08 21:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",Supply Chain,Medium priority
33,982cf7b2-fa1b-4ec6-a4b4-05835a2fe3f4,2023-11-10 13:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",IT and Infrastructure,Medium priority
34,731597bb-dae8-4737-afb4-997919387779,2023-11-11 13:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",Research and Development,Medium priority
35,e8bec9a1-765b-4df4-b5bb-72cdff48173f,2023-11-03 14:45:32,Email Spam Attacks,True,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Research and Development,Low priority
36,e79d3051-2c94-48c3-a922-b1b128374bfa,2023-11-04 13:45:32,Slow Network Connection,True,I've been experiencing a consistently slow internet connection over the past few days. This slowdown is making it extremely challenging to perform my tasks efficiently. Loading web pages and accessing online resources is taking longer than usual. Can you please investigate the root cause of this issue and take the necessary steps to improve my internet speed?,Facilities,High priority
37,c4464131-436f-44c7-af1c-5561d6efd2fd,2023-11-09 08:45:32,Printer Malfunction,False,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Facilities,Medium priority
38,cd9cba3a-05c4-4db9-99d4-04fd650e752a,2023-11-06 10:45:32,Slow Network Connection,False,I've been experiencing a consistently slow internet connection over the past few days. This slowdown is making it extremely challenging to perform my tasks efficiently. Loading web pages and accessing online resources is taking longer than usual. Can you please investigate the root cause of this issue and take the necessary steps to improve my internet speed?,Supply Chain,Medium priority
39,fe96c3b0-c5d0-4523-9761-c0e5268008b7,2023-11-03 15:45:32,Printer Malfunction,False,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Sales and Marketing,Medium priority
40,7922b838-e285-4258-ad38-f25e958a94aa,2023-11-12 23:45:32,Email Delivery Issues,False,"I've noticed significant delays in both sending and receiving emails lately. This delay has resulted in missed communication and is affecting my ability to respond to important messages promptly. I rely heavily on email communication for my work, so it's crucial to resolve this issue swiftly. Please investigate and rectify the email delivery problem.",Legal and Compliance,Low priority
41,c5d3c3ba-46e2-4089-8474-8c435ba07b03,2023-11-12 11:45:32,Hardware Failure,True,"My computer is acting up, and some peripherals like my monitor and keyboard aren't working correctly. Can you assist in resolving these hardware issues?",Human Resources,Low priority
42,dce2dd58-6610-4756-8a3b-3f69e3b2ae9e,2023-11-09 14:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Facilities,High priority
43,d61207cb-df9e-4222-ac32-ecbbdb3a5097,2023-11-09 13:45:32,Email Delivery Issues,True,"I've noticed significant delays in both sending and receiving emails lately. This delay has resulted in missed communication and is affecting my ability to respond to important messages promptly. I rely heavily on email communication for my work, so it's crucial to resolve this issue swiftly. Please investigate and rectify the email delivery problem.",Project Management,Low priority
44,f08c588e-aa55-4adf-8b44-e2f49ea65dd1,2023-11-15 02:45:32,VPN Connection Problems,True,"I'm having trouble connecting to the company's VPN, which I need for remote work. Can you please help me troubleshoot this problem?",Quality Assurance,Low priority
45,20c275ed-9c86-41f4-9f3c-6bb070d34ee6,2023-11-07 20:45:32,Printer Malfunction,False,"I'm encountering a critical issue with the office printer. It's displaying error messages every time I attempt to print, rendering it unusable. I have several important documents that need to be printed urgently. Could you please prioritize this request and address the printer malfunction as soon as possible?",Quality Assurance,Medium priority
46,6f0b2c07-9d63-45f9-b161-903773b79ce5,2023-11-10 09:45:32,Email Spam Attacks,True,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Project Management,High priority
47,6ffe7140-b900-4ad0-82b7-773a245d1676,2023-11-06 13:45:32,Email Spam Attacks,True,"Lately, I've been receiving an excessive amount of spam emails, and I'm worried about potential security risks. Can you help address this issue?",Legal and Compliance,Medium priority
48,f2364100-8fa3-48e6-8cc0-5bfeae71f440,2023-11-12 22:45:32,Forgotten Passwords,True,I forgot my password and got locked out of my account. Can you please help me reset it so I can access my work?,Account Management,Low priority
49,8438807f-7b96-40c5-9e78-7233508d3e24,2023-11-13 12:45:32,Email Delivery Issues,False,"I've noticed significant delays in both sending and receiving emails lately. This delay has resulted in missed communication and is affecting my ability to respond to important messages promptly. I rely heavily on email communication for my work, so it's crucial to resolve this issue swiftly. Please investigate and rectify the email delivery problem.",Human Resources,Medium priority
50,75ca78c2-1714-434a-b1ab-661fbd103503,2024-01-16 15:56:01,Hardware Failure,True,A critical piece of hardware has failed and needs to be replaced urgently.,IT and Infrastructure,Medium priority
51,2aebdf34-74c1-4cec-a775-44ab56b945e7,2024-01-07 15:56:01,Server Downtime,False,"The server has been down for several hours, causing disruption in services.",IT and Infrastructure,High priority
52,9760a9a6-633c-46b5-830b-f7d6667c0518,2024-01-04 15:56:01,Email Configuration Error,False,There are problems configuring the email client for new users.,IT and Infrastructure,Low priority
53,df4d0d60-5e67-4032-9caa-2d8c91c1bab4,2024-01-07 15:56:01,Data Breach Alert,True,"A potential data breach has been detected, requiring immediate investigation.",IT and Infrastructure,High priority
54,6f103754-38ff-40aa-8b69-0de10d40e238,2024-01-24 15:56:01,Email Configuration Error,True,There are problems configuring the email client for new users.,IT and Infrastructure,Medium priority
55,0aa1bcd4-d3f6-474b-b0ba-eb2652eae6b1,2024-01-24 15:56:01,Hardware Failure,True,A critical piece of hardware has failed and needs to be replaced urgently.,IT and Infrastructure,Medium priority
56,ba2c32b7-ed45-4d75-a626-5b5d4112429c,2024-01-27 15:56:01,Email Configuration Error,True,There are problems configuring the email client for new users.,IT and Infrastructure,High priority
57,5bf77e2f-0698-4539-a1b4-87ce6f4e46b7,2024-01-14 15:56:01,Data Breach Alert,False,"A potential data breach has been detected, requiring immediate investigation.",IT and Infrastructure,Medium priority
58,610f9577-9109-49e5-9329-782c8a616ecc,2024-01-15 15:56:01,Server Downtime,True,"The server has been down for several hours, causing disruption in services.",IT and Infrastructure,High priority
59,cd3cfa25-80bc-4ac0-b16f-5339d5ed3984,2024-01-13 15:56:01,Email Configuration Error,True,There are problems configuring the email client for new users.,IT and Infrastructure,High priority
60,3b9bd2fc-c52b-4b66-8de6-a6f1f472901a,2024-01-02 15:56:01,Server Downtime,False,"The server has been down for several hours, causing disruption in services.",IT and Infrastructure,High priority
61,f9c56d3f-f032-4a1d-b34c-05464f6c640e,2024-01-07 15:56:01,Data Breach Alert,False,"A potential data breach has been detected, requiring immediate investigation.",IT and Infrastructure,High priority
62,906b8c65-4875-4a42-b7df-a7d85847cc9a,2024-01-16 15:56:01,Email Configuration Error,True,There are problems configuring the email client for new users.,IT and Infrastructure,High priority
63,449d517b-0cee-4782-b841-93de02156034,2023-12-31 15:56:01,VPN Connectivity Issues,True,Users are experiencing intermittent connectivity issues with the VPN.,IT and Infrastructure,High priority
64,31d1238d-e739-4029-a201-432d51703707,2024-01-09 15:56:01,VPN Connectivity Issues,True,Users are experiencing intermittent connectivity issues with the VPN.,IT and Infrastructure,High priority
65,4053a83e-2ff9-494d-84e5-505c1b785ec6,2024-01-11 15:56:01,Email Configuration Error,False,There are problems configuring the email client for new users.,IT and Infrastructure,High priority
66,2bf5e165-d2e9-4de5-892b-f87e675b4a03,2024-01-12 15:56:01,Email Configuration Error,False,There are problems configuring the email client for new users.,IT and Infrastructure,Medium priority
67,3f32231d-dadf-44f1-acfe-4d636fdf27cc,2024-01-27 15:56:01,VPN Connectivity Issues,True,Users are experiencing intermittent connectivity issues with the VPN.,IT and Infrastructure,Low priority
68,8b068e7e-16c3-412a-9c1d-eba541f34aa5,2024-01-15 15:56:01,VPN Connectivity Issues,False,Users are experiencing intermittent connectivity issues with the VPN.,IT and Infrastructure,Low priority
69,5b670338-af21-4e63-8600-e714f56cf20f,2024-01-07 15:56:01,Email Configuration Error,False,There are problems configuring the email client for new users.,IT and Infrastructure,Medium priority
70,f02b4975-0f27-4f39-860b-e1fb2d55f684,2024-01-25 15:56:01,Product Launch Inquiry,False,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,Low priority
71,8bcaf73f-6692-4458-b0fa-11c037206353,2024-01-14 15:56:01,Product Launch Inquiry,False,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,High priority
72,6da9212a-219c-4e3b-b0f7-7d2096ec0cec,2024-01-04 15:56:01,Product Launch Inquiry,True,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,Medium priority
73,508a047d-2115-448a-894c-81b57268de16,2024-01-08 15:56:01,Product Launch Inquiry,False,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,Low priority
74,2021cffb-7fff-49d2-896e-811707297499,2023-12-30 15:56:01,Website Traffic Drop,True,There's been a significant drop in website traffic over the past week.,Sales and Marketing,High priority
75,046f4790-7dc2-496b-9952-60a2e62380f7,2024-01-17 15:56:01,Product Launch Inquiry,False,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,Low priority
76,de43d1e8-b55e-4a80-a736-a3daa4eeabc0,2024-01-15 15:56:01,Social Media Engagement Drop,True,A noticeable decline in engagement on our social media platforms.,Sales and Marketing,High priority
77,4f2bee8c-d6d5-4fda-9251-af8d2e78c873,2024-01-20 15:56:01,Website Traffic Drop,False,There's been a significant drop in website traffic over the past week.,Sales and Marketing,Low priority
78,88d40167-83f2-42b3-9461-3ae1dccc8607,2024-01-19 15:56:01,Product Launch Inquiry,True,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,Low priority
79,6c620484-c8c0-4dee-a529-f752cb40f5ae,2024-01-19 15:56:01,Product Launch Inquiry,True,Inquiry about the strategies for the upcoming product launch.,Sales and Marketing,Low priority
80,5bef84b0-8165-430c-b683-457e1401c38c,2024-01-17 15:56:01,Website Traffic Drop,True,There's been a significant drop in website traffic over the past week.,Sales and Marketing,Medium priority
81,99ce449b-e405-4c8f-b86f-68f952e56a0d,2024-01-23 15:56:01,Email Campaign Feedback,False,Feedback on the latest email campaign and suggestions for improvement.,Sales and Marketing,Medium priority
82,319f6c49-0d2c-4c5f-82d1-101f442c68c0,2023-12-31 15:56:01,Lead Generation Issues,False,The lead generation process is not yielding expected results.,Sales and Marketing,Medium priority
83,52ace918-d0f5-46ad-8664-e10d0f04dc1e,2024-01-11 15:56:01,Lead Generation Issues,True,The lead generation process is not yielding expected results.,Sales and Marketing,Low priority
84,93fd69ea-0ea1-4733-9e85-c99f3fba3ef4,2024-01-25 15:56:01,Lead Generation Issues,False,The lead generation process is not yielding expected results.,Sales and Marketing,High priority
85,a19157c9-30d6-4927-a6f2-6f568cc1199f,2024-01-09 15:56:01,Lead Generation Issues,True,The lead generation process is not yielding expected results.,Sales and Marketing,Low priority
86,9ecf5d8f-a767-42b0-9ab0-62e0ef67793c,2024-01-18 15:56:01,Email Campaign Feedback,True,Feedback on the latest email campaign and suggestions for improvement.,Sales and Marketing,Medium priority
87,ee705bab-cd5c-4b36-ae13-637ef2b14ce8,2023-12-30 15:56:01,Social Media Engagement Drop,True,A noticeable decline in engagement on our social media platforms.,Sales and Marketing,High priority
88,8c3a367b-d7c9-4f6d-be64-ba9130b30e4e,2024-01-26 15:56:01,Lead Generation Issues,False,The lead generation process is not yielding expected results.,Sales and Marketing,Low priority
89,78a717ee-38c6-4222-92f5-f7b7942c84df,2023-12-30 15:56:01,Email Campaign Feedback,False,Feedback on the latest email campaign and suggestions for improvement.,Sales and Marketing,Low priority
